gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,1,0,33,1,0.0,DSL,1.0,1.0,0.0,1.0,0.0,0.0,Two year,1,Mailed check,61.05,2018.4,0.0
Male,1,1,1,1,1,0.0,DSL,0.0,0.0,0.0,1.0,0.0,0.0,Month-to-month,1,Credit card (automatic),49.25,49.25,1.0
Male,1,0,0,64,1,1.0,Fiber optic,1.0,1.0,0.0,0.0,1.0,1.0,Month-to-month,1,Bank transfer (automatic),103.5,6548.65,0.0
Female,0,1,1,22,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,One year,0,Bank transfer (automatic),20.75,452.35,0.0
Male,1,0,0,50,1,1.0,DSL,1.0,1.0,0.0,0.0,1.0,0.0,Month-to-month,1,Bank transfer (automatic),70.35,3454.6,0.0
Female,0,0,0,1,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Mailed check,19.4,19.4,0.0
Male,0,1,0,70,1,1.0,Fiber optic,1.0,1.0,1.0,1.0,1.0,1.0,Two year,0,Credit card (automatic),114.3,8244.3,0.0
Female,0,0,0,41,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Bank transfer (automatic),70.25,2868.05,1.0
Female,0,0,0,4,1,0.0,DSL,1.0,1.0,0.0,1.0,0.0,0.0,Month-to-month,1,Mailed check,60.4,272.15,1.0
Male,0,0,1,23,1,0.0,DSL,0.0,1.0,0.0,1.0,0.0,0.0,Month-to-month,0,Electronic check,54.15,1312.45,0.0
Female,0,0,0,57,0,0.0,DSL,1.0,0.0,1.0,1.0,0.0,0.0,One year,1,Credit card (automatic),41.1,2258.25,0.0
Female,0,0,0,8,1,0.0,DSL,1.0,1.0,0.0,1.0,0.0,0.0,One year,0,Bank transfer (automatic),58.2,469.25,0.0
Female,0,1,0,24,1,1.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Credit card (automatic),75.4,1747.85,1.0
Female,0,1,1,35,0,0.0,DSL,0.0,0.0,0.0,1.0,1.0,0.0,One year,0,Mailed check,40.9,1383.6,0.0
Female,0,0,0,34,1,1.0,DSL,0.0,0.0,0.0,1.0,1.0,0.0,Month-to-month,0,Mailed check,65.0,2157.5,0.0
Female,0,1,1,72,1,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,0,Bank transfer (automatic),24.45,1709.1,0.0
Female,0,0,0,1,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,1.0,Month-to-month,1,Electronic check,81.1,81.1,1.0
Female,0,0,0,29,1,1.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Electronic check,74.2,1993.25,0.0
Female,0,1,0,59,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,1.0,1.0,Month-to-month,0,Electronic check,101.1,6039.9,1.0
Male,0,1,1,21,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,One year,0,Mailed check,19.8,350.1,0.0
Female,0,1,0,64,1,0.0,Fiber optic,1.0,0.0,0.0,1.0,1.0,1.0,One year,1,Mailed check,96.9,6314.35,0.0
